profile_id,event_index,torpedo_id,ship_id,hit_time_s,hit_x,hit_y
P01,1,F01,S26,152.3999999999999,1055.5001838076782,1390.8095266429086
P01,2,F03,S04,257.9999999999939,172.37981411760074,77.91669030912863
P01,3,F04,S04,260.99999999999375,233.0293856843423,7.502371191605562
P02,1,F03,S40,114.60000000000109,1712.0976100896319,1434.966513935435
P02,2,F04,S40,115.0000000000011,1767.8051572247357,1407.27366056691
P02,3,F01,S33,129.6000000000012,1410.166997998306,1347.6541114602016
P03,1,F04,S26,159.79999999999947,1026.3416708578357,1449.3780916202509
P04,1,F04,S11,199.5999999999972,332.97391634034693,71.26209596099989
P04,2,F02,S04,215.19999999999632,-12.5446759553206,59.79376239719545
P04,3,F03,S04,219.39999999999608,6.9276277512203706,-40.82129829233827
P05,1,F01,S33,100.20000000000088,1257.0656099192731,1419.0407666933825
P05,2,F02,S33,103.80000000000094,1283.6825769795062,1369.9482747668503
P05,3,F03,S04,227.9999999999956,50.28049307248193,-46.53056796426972
P06,1,F04,S11,208.5999999999967,390.2366055954194,67.95303688151489
P06,2,F02,S04,224.99999999999577,19.476891574010097,66.77020772743595
P06,3,F03,S04,226.99999999999565,61.96339630243574,-0.8617938441370825
P07,1,F01,S26,125.20000000000124,850.7532632195375,1440.2229311860326
P07,2,F02,S26,126.80000000000126,905.6451809610287,1422.689821757859
P07,3,F03,S26,130.20000000000115,945.2335175628023,1383.9045732966051
P08,1,F04,S24,157.5999999999996,1062.9666743705927,-1418.2284037095976
P08,2,F03,S24,158.19999999999956,1090.8947377809625,-1346.8393910676573
P08,3,F02,S04,258.3999999999939,185.9314288440255,-56.14545509121899
P09,1,F01,S38,112.00000000000105,1749.1016510315503,-1405.06149397344
P09,2,F04,S31,136.4000000000008,1435.9857250553323,-1384.056066161297
P09,3,F02,S04,250.19999999999433,149.60968225525312,-55.249518295188864
P10,1,F01,S24,153.59999999999982,999.7334930169045,-1434.3871161897969
P10,2,F04,S17,172.19999999999877,709.7774027546402,-1376.4535561487046
P11,1,F01,S11,195.39999999999745,342.5053099252277,-33.92765493854836
P11,2,F03,S04,217.5999999999962,-18.58925871935935,-54.67510028372908
P12,1,F03,S31,104.80000000000095,1280.8158464905962,-1382.4322228161725
P12,2,F04,S31,105.80000000000096,1253.6017698422513,-1430.0454233420767
P12,3,F02,S04,223.79999999999583,45.34597127403231,17.493650130762944
P13,1,F01,S11,202.59999999999704,382.1607321119991,-22.790975983468115
P13,2,F02,S04,225.9999999999957,53.26733608587847,27.692352182310742
P13,3,F03,S04,228.19999999999558,21.160060062910816,-66.2192459104183
P14,1,F01,S18,43.40000000000008,-55.771285327869634,59.29947614994933
P14,2,F02,S18,45.2000000000001,-38.13222860512073,65.49372450563624
P14,3,F03,S18,47.400000000000134,-18.35021550594928,66.480011324305
P14,4,F04,S18,49.600000000000165,1.3752266099686494,68.03419171121698
P15,1,F01,S18,54.00000000000023,42.028249388472894,-67.88159301459393
P15,2,F02,S18,57.60000000000028,17.736587468014946,-55.162643653141686
P16,1,F04,S18,56.600000000000264,62.44833947795047,67.0374109872206
P16,2,F03,S18,57.20000000000027,40.44093563571107,66.17903662515585
P17,1,F03,S11,125.20000000000124,-41.776078704447684,-65.6786302279304
P17,2,F04,S11,127.60000000000127,-102.60969323931727,-43.24775367707866
P17,3,F02,S12,217.1999999999962,419.6649445130562,1310.2861107420144
P18,1,F01,S17,69.40000000000045,186.919710156958,-1411.0290307903304
P18,2,F02,S17,69.40000000000045,158.85532992864103,-1440.5471471395676
P18,3,F03,S17,70.80000000000047,130.19043626966243,-1449.3028929997997
P18,4,F04,S17,73.4000000000005,99.51212966379856,-1440.5130817514562
P19,1,F01,S19,28.99999999999993,-89.76835086923775,1458.1439477812685
P19,2,F02,S19,30.999999999999922,-77.7947219301094,1457.0689907727506
P19,3,F03,S19,32.799999999999926,-66.45506789989071,1459.3592057832968
P19,4,F04,S19,34.799999999999955,-54.68671821998362,1458.931426765126
P20,1,F02,S11,135.80000000000084,31.833018377543567,-48.354997301152935
P20,2,F03,S11,137.20000000000076,-13.617471913063923,-61.67011780112375
P20,3,F01,S11,138.2000000000007,70.25677487510382,22.091785415457707
P21,1,F04,S10,159.79999999999947,122.57593429521215,-1295.64510254883
P21,2,F03,S02,246.99999999999451,64.92932364026422,-2671.3384046171395
P22,1,F02,S04,157.19999999999962,-405.8752245419364,-50.72181727113039
P22,2,F03,S04,157.79999999999959,-429.6821009660075,33.24385975229458
P22,3,F04,S18,252.5999999999942,996.4442391910238,64.07783072272835
P23,1,F02,S04,203.399999999997,-204.9126270546899,11.096481327909828
P23,2,F03,S04,209.79999999999663,-125.34882196233411,82.46567900753917
P23,3,F04,S11,253.39999999999415,511.3693773857972,26.280543301431976
P24,1,F04,S04,191.79999999999765,-251.58630125106265,-35.684420948888146
P24,2,F02,S11,228.79999999999555,402.2491048630518,-40.55064429655636
P24,3,F01,S18,267.5999999999934,1037.9342847886037,-3.0056425795283985
P25,1,F01,S11,215.3999999999963,450.2500280216009,-17.614619386669574
P25,2,F02,S04,238.79999999999498,121.06317023802194,6.957117298304411
P25,3,F03,S04,241.9999999999948,88.46885841081348,-70.66029566174507
P26,1,F03,S17,50.60000000000018,91.81026009979922,-1414.225467694731
P26,2,F04,S17,51.40000000000019,47.860989285811286,-1449.6550518614395
P27,1,F02,S18,68.00000000000043,122.49119562518756,70.00650217074588
P27,2,F01,S10,154.1999999999998,89.32338251041492,-1292.5030533404126
P27,3,F04,S17,168.99999999999895,693.8309065513768,-1345.3707424271822
P27,4,F03,S08,342.5999999999976,1029.3454398835536,-4046.4332272654847
P28,1,F01,S18,242.99999999999474,968.9840039002693,68.44937819569839
P28,2,F04,S33,351.99999999999704,2418.2826792573587,1293.29951089634
P29,1,F01,S11,241.7999999999948,451.9757380419428,14.778278085522174
P29,2,F02,S32,373.7999999999958,2480.745659547141,-2.011353218522345
P30,1,F01,S04,184.79999999999805,-294.45750020498326,21.584447889642774
P30,2,F03,S19,316.99999999999903,1274.863711697677,1373.5296092572557
P31,1,F01,S03,31.79999999999992,-932.5502916072367,-1416.5716000533741
