profile_id,total_hits,ships_hit,torpedoes_that_hit,sim_duration_s,hit_dt
P01,3,2,3,600.0,0.2
P02,3,2,3,600.0,0.2
P03,1,1,1,600.0,0.2
P04,3,2,3,600.0,0.2
P05,3,2,3,600.0,0.2
P06,3,2,3,600.0,0.2
P07,3,1,3,600.0,0.2
P08,3,2,3,600.0,0.2
P09,3,3,3,600.0,0.2
P10,2,2,2,600.0,0.2
P11,2,2,2,600.0,0.2
P12,3,2,3,600.0,0.2
P13,3,2,3,600.0,0.2
P14,4,1,4,600.0,0.2
P15,2,1,2,600.0,0.2
P16,2,1,2,600.0,0.2
P17,3,2,3,600.0,0.2
P18,4,1,4,600.0,0.2
P19,4,1,4,600.0,0.2
P20,3,1,3,600.0,0.2
P21,2,2,2,600.0,0.2
P22,3,2,3,600.0,0.2
P23,3,2,3,600.0,0.2
P24,3,3,3,600.0,0.2
P25,3,2,3,600.0,0.2
P26,2,1,2,600.0,0.2
P27,4,4,4,600.0,0.2
P28,2,2,2,600.0,0.2
P29,2,2,2,600.0,0.2
P30,2,2,2,600.0,0.2
P31,4,1,4,600.0,0.2
P32,2,1,2,600.0,0.2
P33,3,2,3,600.0,0.2
P34,3,2,3,600.0,0.2
P35,4,1,4,600.0,0.2
P36,3,2,3,600.0,0.2
P37,2,2,2,600.0,0.2
P38,3,1,3,600.0,0.2
P39,4,2,4,600.0,0.2
P40,4,1,4,600.0,0.2
P41,4,1,4,600.0,0.2
P42,1,1,1,600.0,0.2
P43,3,2,3,600.0,0.2
P44,3,2,3,600.0,0.2
P45,4,1,4,600.0,0.2
P46,3,2,3,600.0,0.2
P47,4,2,4,600.0,0.2
P48,2,1,2,600.0,0.2
P49,4,3,4,600.0,0.2
P50,4,1,4,600.0,0.2
P51,3,2,3,600.0,0.2
P52,2,1,2,600.0,0.2
P53,0,0,0,600.0,0.2
P54,3,1,3,600.0,0.2
P55,3,1,3,600.0,0.2
P56,2,2,2,600.0,0.2
P57,2,1,2,600.0,0.2
P58,4,1,4,600.0,0.2
P59,4,2,4,600.0,0.2
P60,3,1,3,600.0,0.2
