profile_id,name,mode,u_pos_x,u_pos_y,range_to_centroid_m,intent_bearing_rad,active_bearing_rad,bearing_error_deg,spread_deg,flag_count,flags,severity,suggested_label
P21,profile_21,fan,0.0,1100.0,1100.0,-1.5707963267948966,5.23599,30.00012857270387,5.998868115019719,2,near_range_large_error;fan_not_covering_target,56.00015428724464,implausible_geometry
P16,profile_16,fan,400.0,900.0,984.8857801796105,-1.9890206563741257,4.81038,29.576960828719102,3.9992454100131463,2,near_range_large_error;fan_not_covering_target,55.49235299446292,implausible_geometry
P25,profile_25,fan,3600.0,-1100.0,3764.3060449437426,2.845046844520093,2.35619,28.009433977084424,3.9992454100131463,1,fan_not_covering_target,53.61132077250131,implausible_geometry
P15,profile_15,fan,100.0,-900.0,905.5385138137417,1.6814535479687922,1.308996939,21.34019174566625,5.001921551492087,2,near_range_large_error;fan_not_covering_target,45.608230094799495,implausible_geometry
P20,profile_20,fan,350.0,-2100.0,2128.966885604377,1.7359450042095235,1.44862,16.462510089784306,3.9992454100131463,2,near_range_large_error;fan_not_covering_target,39.755012107741166,implausible_geometry
P23,profile_23,fan,-3200.0,900.0,3324.1540277189324,-0.2741674511196588,5.81195,11.291156429925449,5.001921551492087,1,fan_not_covering_target,33.54938771591054,implausible_geometry
P14,profile_14,fan,-300.0,700.0,761.5773105863908,-1.1659045405098132,4.97418836818,8.198590513868195,5.001921551492087,1,fan_not_covering_target,29.838308616641832,implausible_geometry
P18,profile_18,fan,250.0,-2500.0,2512.4689052802228,1.6704649792860586,1.5708,5.710382678349934,5.001921551492087,1,fan_not_covering_target,26.85245921401992,implausible_geometry
P19,profile_19,fan,-150.0,1900.0,1905.9118552545917,-1.4920123658057527,4.88692,5.485902360070996,5.001921551492087,0,,6.5830828320851955,credible_hit_threat
P24,profile_24,fan,-3000.0,-900.0,3132.091952673165,0.2914567944778671,0.261799,1.6992664532481707,5.006505213853133,0,,2.0391197438978046,credible_hit_threat
P22,profile_22,fan,-2800.0,200.0,2807.13376952364,-0.07130746478529032,6.19592,0.914317019328145,5.998868115019719,0,,1.097180423193774,credible_hit_threat
P08,profile_08,fan,2600.0,-3200.0,4123.105625617661,2.2531128816696446,2.24,0.7513127769250852,5.001921551492087,0,,0.9015753323101022,credible_hit_threat
P01,profile_01,fan,2600.0,3200.0,4123.105625617661,-2.2531128816696446,4.04,0.5688081190820886,3.9992454100131463,0,,0.6825697428985064,credible_hit_threat
P10,profile_10,fan,2200.0,-3500.0,4134.005321718878,2.131959739083249,2.14,0.4606730167138265,5.001921551492087,0,,0.5528076200565918,credible_hit_threat
P17,profile_17,fan,-500.0,-1900.0,1964.68827043885,1.313472611823808,1.309,0.25626178090452617,5.998868115019719,0,,0.3075141370854314,credible_hit_threat
P07,profile_07,fan,2000.0,3000.0,3605.5512754639894,-2.158798930342464,4.12,0.25132088012101805,5.001921551492087,0,,0.30158505614522163,credible_hit_threat
P02,profile_02,fan,3000.0,2600.0,3969.8866482558415,-2.427501954977635,3.86,0.24732570047265864,5.998868115019719,0,,0.29679084056719035,credible_hit_threat
P12,profile_12,fan,2400.0,-2500.0,3465.544690232691,2.335789159505807,2.34,0.2412633885200383,5.998868115019719,0,,0.28951606622404596,credible_hit_threat
P06,profile_06,fan,3200.0,1400.0,3492.849839314596,-2.729182211992406,3.55,0.22936045921454026,3.9992454100131463,0,,0.2752325510574483,credible_hit_threat
P04,profile_04,fan,2800.0,1800.0,3328.6633954186477,-2.5702551737561663,3.71,0.16788427857213264,5.001921551492087,0,,0.20146113428655918,credible_hit_threat
P05,profile_05,fan,2400.0,2500.0,3465.544690232691,-2.335789159505807,3.95,0.14918974876777608,5.998868115019719,0,,0.1790276985213313,credible_hit_threat
P09,profile_09,fan,3000.0,-2600.0,3969.8866482558415,2.427501954977635,2.43,0.1431274368151812,5.998868115019719,0,,0.17175292417821744,credible_hit_threat
P03,profile_03,fan,2200.0,3500.0,4134.005321718878,-2.131959739083249,4.15,0.07021987942603755,5.001921551492087,0,,0.08426385531124506,credible_hit_threat
P13,profile_13,fan,3200.0,-1400.0,3492.849839314596,2.729182211992406,2.73,0.046855801371543646,5.001921551492087,0,,0.05622696164585237,credible_hit_threat
P11,profile_11,fan,2800.0,-1800.0,3328.6633954186477,2.5702551737561663,2.57,0.014620379270838535,5.998868115019719,0,,0.017544455125006242,credible_hit_threat
